Gene,Sample,RPKM
SARO_RS01730,Glu_01_HTSeq,12.6589314789438
SARO_RS01735,Glu_01_HTSeq,12.2603186922501
SARO_RS01740,Glu_01_HTSeq,22.9686884821567
SARO_RS01745,Glu_01_HTSeq,8.27540488653269
SARO_RS01755,Glu_01_HTSeq,20.7914795015239
SARO_RS01760,Glu_01_HTSeq,27.67196388819
SARO_RS01765,Glu_01_HTSeq,22.1877998383905
SARO_RS01770,Glu_01_HTSeq,22.6175402516359
SARO_RS01780,Glu_01_HTSeq,20.5062633833671
SARO_RS01785,Glu_01_HTSeq,35.3361579868125
SARO_RS01790,Glu_01_HTSeq,21.0237249683836
SARO_RS01795,Glu_01_HTSeq,1.55613189066506
SARO_RS01800,Glu_01_HTSeq,2.49575702927176
SARO_RS01805,Glu_01_HTSeq,1.75377520975853
SARO_RS01810,Glu_01_HTSeq,1.10034318388995
SARO_RS01815,Glu_01_HTSeq,0.983177011531301
SARO_RS01820,Glu_01_HTSeq,1.4495988702441
SARO_RS01825,Glu_01_HTSeq,0.583423721128464
SARO_RS01835,Glu_01_HTSeq,20.7137520383981
SARO_RS01840,Glu_01_HTSeq,11.2618457684494
SARO_RS01845,Glu_01_HTSeq,1.9663540230626
SARO_RS01850,Glu_01_HTSeq,1.3012636917326
SARO_RS01855,Glu_01_HTSeq,6.29233287380033
SARO_RS01860,Glu_01_HTSeq,0.907548010644278
SARO_RS01865,Glu_01_HTSeq,34.5856300346736
SARO_RS01870,Glu_01_HTSeq,59.9008968027547
SARO_RS01875,Glu_01_HTSeq,2.11224480541886
SARO_RS01880,Glu_01_HTSeq,1.48329017346629
SARO_RS01885,Glu_01_HTSeq,1.3575923666076
SARO_RS01890,Glu_01_HTSeq,2.81110539037108
SARO_RS01895,Glu_01_HTSeq,1.90412762992771
SARO_RS01900,Glu_01_HTSeq,1.04101095338608
SARO_RS01905,Glu_01_HTSeq,1.52659433739365
SARO_RS01910,Glu_01_HTSeq,49.2150321200811
SARO_RS01915,Glu_01_HTSeq,11.9374720612698
SARO_RS01920,Glu_01_HTSeq,14.2837823396357
SARO_RS01925,Glu_01_HTSeq,25.5686340606207
SARO_RS01930,Glu_01_HTSeq,37.625756763037
SARO_RS01935,Glu_01_HTSeq,37.259085872385
SARO_RS01945,Glu_01_HTSeq,641.707345713836
SARO_RS01955,Glu_01_HTSeq,119.456006901053
SARO_RS01960,Glu_01_HTSeq,23.8840074020774
SARO_RS01970,Glu_01_HTSeq,68.2466075849683
SARO_RS01975,Glu_01_HTSeq,49.9789881841741
SARO_RS01980,Glu_01_HTSeq,110.435444673346
SARO_RS01985,Glu_01_HTSeq,80.8330937588708
SARO_RS01990,Glu_01_HTSeq,87.070156141212
SARO_RS01995,Glu_01_HTSeq,9.21728448310595
